[04-Apr-2023 15:10:07 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 15:21:46 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 15:21:46 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0002) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 15:21:46 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0003) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 16:02:02 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 16:21:07 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[04-Apr-2023 16:22:35 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[05-Apr-2023 07:46:32 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[08-Apr-2023 22:31:27 UTC] PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\dolibarr\www\dolibarr\htdocs\core\class\CMailFile.class.php on line 761
[09-Apr-2023 11:56:34 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[09-Apr-2023 11:56:34 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0002) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[09-Apr-2023 11:56:34 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/TK2303-0003) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[09-Apr-2023 11:56:34 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/3) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[09-Apr-2023 11:56:34 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/1) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[09-Apr-2023 12:10:43 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[11-Apr-2023 11:33:45 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[11-Apr-2023 12:01:23 UTC] PHP Warning:  is_dir(): open_basedir restriction in effect. File(/PJ2303-0001) is not within the allowed path(s): (c:/dolibarr) in C:\dolibarr\www\dolibarr\htdocs\core\lib\files.lib.php on line 103
[16-Apr-2023 22:30:38 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\dolibarr\www\dolibarr\htdocs\core\lib\functions.lib.php on line 43
[09-May-2023 16:20:20 UTC] PHP Warning:  POST Content-Length of 163892424 bytes exceeds the limit of 10485760 bytes in Unknown on line 0
